Date,Buy & Hold,Momentum,Sentiment + Momentum,Buy & Hold Cumulative,Momentum Cumulative,Sentiment + Momentum Cumulative
2015-01-02,,,,1.0,1.0,1.0
2015-01-05,-0.016963369285094364,0.0,0.0,0.9830366307149057,1.0,1.0
2015-01-06,-0.016475250940912282,0.0,0.0,0.9668408555397686,1.0,1.0
2015-01-07,0.004637874676105525,0.0,0.0,0.9713249422595007,1.0,1.0
2015-01-08,0.022286440482276983,0.0,0.0,0.9929723177741181,1.0,1.0
2015-01-09,-0.003466235959550825,0.0,0.0,0.9895304414194108,1.0,1.0
2015-01-12,-0.012138065161422925,0.0,0.0,0.9775194564422505,1.0,1.0
2015-01-13,-0.002096111159135535,0.0,0.0,0.9754704670013298,1.0,1.0
2015-01-14,-0.00833502103629563,0.0,0.0,0.9673399001385886,1.0,1.0
2015-01-15,-0.015452254759914219,0.0,0.0,0.9523923175622172,1.0,1.0
2015-01-16,0.008349677110852136,0.0,0.0,0.960344485896718,1.0,1.0
2015-01-20,0.00362438319769993,0.0,0.0,0.9638251423154057,1.0,1.0
2015-01-21,0.01112930078835367,0.0,0.0,0.9745518422316117,1.0,1.0
2015-01-22,0.01721927129346575,0.0,0.0,0.9913329147925447,1.0,1.0
2015-01-23,0.003104938019666895,0.0,0.0,0.9944109420498312,1.0,1.0
2015-01-26,0.0017436721560530454,0.0,0.0,0.9961448687211579,1.0,1.0
2015-01-27,-0.023717607497124,0.0,0.0,0.9725186957145554,1.0,1.0
2015-01-28,-0.0095212922678753,0.0,0.0,0.9632590609766842,1.0,1.0
2015-01-29,0.01424825680302676,0.0,0.0,0.9769838234453223,1.0,1.0
2015-01-30,-0.011808905299518991,0.0,0.0,0.9654467139950945,1.0,1.0
2015-02-02,0.012428006333600585,0.0,0.0,0.9774452918713795,1.0,1.0
2015-02-03,0.013652301625977945,0.0,0.0,0.9907896698188997,1.0,1.0
2015-02-04,0.00369694754848385,0.0,0.0,0.9944525672597998,1.0,1.0
2015-02-05,0.018961075236508883,0.0,0.0,1.0133084572067521,1.0,1.0
2015-02-06,-0.010371448529030578,0.0,0.0,1.002798980698801,1.0,1.0
2015-02-09,-0.00683036098466033,0.0,0.0,0.9959495016655787,1.0,1.0
2015-02-10,0.0215526982898573,0.0,0.0,1.0174149007869107,1.0,1.0
2015-02-11,0.0001146522805522649,0.0,0.0,1.0175315497255537,1.0,1.0
2015-02-12,0.0186793724367147,0.0,0.0,1.0365384005089848,1.0,1.0
2015-02-13,0.00824345762706097,0.0,0.0,1.0450830608924022,1.0,1.0
2015-02-17,-0.0004891507470364849,0.0,0.0,1.0445718577324514,1.0,1.0
2015-02-18,0.00022634885237836022,0.0,0.0,1.044808295373676,1.0,1.0
2015-02-19,0.006715508920824545,0.0,0.0,1.0518247148018094,1.0,1.0
2015-02-20,0.00720276971267461,0.0,0.0,1.0594007660006266,1.0,1.0
2015-02-23,-0.0069766675465633395,0.0,0.0,1.0520096790576656,1.0,1.0
2015-02-24,0.0019504752444662698,0.0,0.0,1.0540615978936065,1.0,1.0
2015-02-25,-0.0009803353168613197,0.0,0.0,1.0530282640830442,1.0,1.0
2015-02-26,0.017229549166196855,0.0,0.0,1.0711714663324579,1.0,1.0
2015-02-27,-0.006978869474870005,0.0,0.0,1.0636959004837185,1.0,1.0
2015-03-02,0.010001909851561741,0.0,0.0,1.0743348909898325,1.0,1.0
2015-03-03,-0.012837948966738785,0.0,0.0,1.0605426344861182,1.0,1.0
2015-03-04,-0.005633672087712935,0.0,0.0,1.0545678850483842,1.0,1.0
2015-03-05,0.0021573152780174154,0.0,0.0,1.0568429204585055,1.0,1.0
