Ticker,Date,ArticleCount,MeanConfidence,MeanRelevance,DailySentiment
AAPL,2022-01-03,6,0.8398134708404541,0.831363,-0.1495367647265194
AAPL,2022-01-04,5,0.8663516044616699,0.8105852,-0.15260086169843712
AAPL,2022-01-05,3,0.8372702598571777,0.7581256666666666,-0.42305871014348106
AAPL,2022-01-06,3,0.8839441736539205,0.6618853333333333,0.33615993908310404
AAPL,2022-01-07,2,0.7125689387321472,0.6793990000000001,0.0
AAPL,2022-01-09,2,0.9254313111305237,0.805747,0.0
AAPL,2022-01-10,2,0.8472013175487518,0.7485615,-0.5757676556969601
AAPL,2022-01-11,3,0.7645612061023712,0.701226,0.34233280948890465
AAPL,2022-01-12,1,0.9647868871688843,0.614943,-1.0
AAPL,2022-01-13,3,0.6752936740716299,0.6487550000000001,0.04015537452505184
AAPL,2022-01-14,2,0.7278904020786285,0.6141464999999999,0.0
AAPL,2022-01-16,1,0.9441727995872498,1.0,0.0
AAPL,2022-01-17,1,0.5066321492195129,0.968386,0.0
AAPL,2022-01-18,4,0.8128962367773056,0.87428325,-0.2859485184006442
AAPL,2022-01-19,3,0.7409217953681946,0.667857,-0.31309646625949367
AAPL,2022-01-20,1,0.8416943550109863,0.737869,1.0
AAPL,2022-01-21,5,0.8251256704330444,0.6190317999999999,0.009276098578457499
AAPL,2022-01-23,2,0.9182700514793396,0.7447835,0.0
AAPL,2022-01-24,3,0.7258891065915426,0.6924173333333333,0.3520155474636683
AAPL,2022-01-26,2,0.7066614627838135,0.5939185,0.4696890229888444
AAPL,2022-01-27,4,0.8397985398769379,0.82678475,0.0
AAPL,2022-01-28,3,0.754556934038798,0.8442383333333333,0.3948332125801758
AAPL,2022-01-30,1,0.9032073020935059,1.0,0.0
AAPL,2022-01-31,3,0.8675010402997335,0.6622813333333334,0.0074897676918771845
AAPL,2022-02-01,4,0.7847714126110077,0.73347425,0.3408435947137885
AAPL,2022-02-02,4,0.7932549491524696,0.68402725,0.0
AAPL,2022-02-03,6,0.8974310557047526,0.7732745,-0.13784238326752013
AAPL,2022-02-04,4,0.9103461056947708,0.8901352499999999,0.43828760854038756
AAPL,2022-02-06,1,0.8578379154205322,0.70412,-1.0
AAPL,2022-02-07,4,0.7841697484254837,0.689821,0.23136255637332004
AAPL,2022-02-08,4,0.9094569534063339,0.65879025,0.009515168143426504
AAPL,2022-02-09,4,0.7099911570549011,0.79771075,-0.28764185514611657
AAPL,2022-02-10,8,0.8616071790456772,0.654057625,0.11793131377376727
AAPL,2022-02-11,5,0.7814051508903503,0.7656046,0.4093389721012648
AAPL,2022-02-12,1,0.9265658259391785,0.630634,0.0
AAPL,2022-02-14,1,0.8356139659881592,0.742307,0.0
AAPL,2022-02-15,3,0.8257675170898438,0.6986503333333333,0.0
AAPL,2022-02-16,6,0.8487093249956766,0.7333548333333333,0.0
AAPL,2022-02-17,5,0.8294916391372681,0.758968,-0.24899916729032054
AAPL,2022-02-18,5,0.7765645265579224,0.6292244,-0.1830351779110918
