Strategy,StrategyReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaximumDrawdown,WinRate
Buy & Hold,20.254501937086257,0.299979561105405,0.25930000869025477,1.1421261262615858,-0.407122099843801,0.5672913117546848
Momentum,1.1067788760634576,0.06604750685740735,0.09216185088885165,0.7402978013480922,-0.1769215094212091,0.5539347408829175
Sentiment + Momentum,0.0041894330493861265,0.0003588967503056484,0.005963642059607583,0.06314298317783441,-0.01342344795288497,0.41818181818181815
