Strategy,StrategyReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaximumDrawdown,WinRate,TrainThrough,TestYear,NumberOfTrades,NewsDays
Momentum,0.034018409479825484,0.034018409479825484,0.10043181324731958,0.3832057873258313,-0.0865780102355993,0.532258064516129,2023,2024,711.0,0
Sentiment + Momentum,0.0,0.0,0.0,0.0,0.0,0.0,2023,2024,0.0,0
Adaptive Risk,0.007152924887311007,0.007152924887311007,0.056047637029120814,0.15509193092332615,-0.04172918934736081,0.5284552845528455,2023,2024,469.82818835268347,0
Momentum,0.0488848545912004,0.049285416747486765,0.0782650687996263,0.653756814582426,-0.04839652614316603,0.5155555555555555,2024,2025,611.0,0
Sentiment + Momentum,0.0,0.0,0.0,0.0,0.0,0.0,2024,2025,0.0,0
Adaptive Risk,-0.013827810186332501,-0.013937658166243039,0.03730185937966604,-0.3576748780408802,-0.03589465998439478,0.45622119815668205,2024,2025,365.6823682270157,0
Momentum,0.04484522629069532,0.06718996579028813,0.12958637928884795,0.5664516492876671,-0.11248628900793445,0.5,2025,2026,362.0,91
Sentiment + Momentum,-0.0030693756630773006,-0.004546528142909456,0.00295558487280853,-1.5403069369001163,-0.0036108084196571077,0.18181818181818182,2025,2026,16.0,91
Adaptive Risk,-0.0035555443628678685,-0.005266049280163387,0.021356866901938845,-0.23661678254105042,-0.020269969643024077,0.40714285714285714,2025,2026,114.96167315007385,91
