Feature,IC_1D,P_1D,N_1D,IC_3D,P_3D,N_3D,IC_5D,P_5D,N_5D,IC_10D,P_10D,N_10D
Sentiment,-0.023792448164661167,0.43198313384394704,1093,0.03716866636548826,0.22163498129855239,1083,0.04584808786204384,0.13320801640583046,1074,0.020973933838267077,0.4969970450217729,1051
Momentum_5,-0.024302175420567014,4.01250177000439e-09,58600,-0.02727431404805582,4.077173976495688e-11,58560,-0.028505243316433622,5.3137947821464936e-12,58520,-0.020548440678255907,6.798838436440575e-07,58420
RSI,-0.022746597007585193,3.830389303969917e-08,58420,-0.026829143292816167,8.963474869077558e-11,58380,-0.029499564557974454,1.028583174421926e-12,58340,-0.02016488015669249,1.1343472321499732e-06,58240
Volume_Z,0.008843780224413714,0.0324043536699104,58520,0.002759991719051212,0.5045001766633076,58480,0.0025482299505078447,0.5378903794044567,58440,0.004745344564874013,0.2517302036576219,58340
Sentiment_Shock_Z,-0.02609375546766184,0.3925015853304352,1076,0.04771419362839431,0.11949160859498344,1066,0.05570346737472976,0.07025422074802884,1057,0.03028420253965202,0.33038852536436497,1035
