Date,Ticker,Close,Return,Volume,SMA_20,SMA_50,Momentum_5,Momentum_20,Volatility_20,RSI,MACD,Has_News,News_Count,Sentiment,MeanRelevance
2015-01-02,AAPL,24.17176055908203,,212818400,,,,,,,0.0,0,0,0.0,0.0
2015-01-05,AAPL,23.49080276489257,-0.0281716258327572,257142000,,,,,,,-0.0543214194795034,0,0,0.0,0.0
2015-01-06,AAPL,23.49300765991211,9.386205493289168e-05,263188400,,,,,,,-0.0960859995888938,0,0,0.0,0.0
2015-01-07,AAPL,23.822439193725582,0.0140225354957681,160423600,,,,,,,-0.1014331009705209,0,0,0.0,0.0
2015-01-08,AAPL,24.737749099731445,0.0384221740923549,237458000,,,,,,,-0.0314503178021468,0,0,0.0,0.0
2015-01-09,AAPL,24.764272689819336,0.0010721909249284,214798000,,,0.0245125765369491,,,,0.0258537481949261,0,0,0.0,0.0
2015-01-12,AAPL,24.15406990051269,-0.0246404486394425,198603200,,,0.0282351838827483,,,,0.0217783210035555,0,0,0.0,0.0
2015-01-13,AAPL,24.368528366088867,0.0088787714227664,268367600,,,0.0372672890100285,,,,0.0354449343211946,0,0,0.0,0.0
2015-01-14,AAPL,24.27566909790039,-0.003810622734104,195826400,,,0.0190253357554661,,,,0.0383408870727315,0,0,0.0,0.0
2015-01-15,AAPL,23.61682510375977,-0.0271400961795778,240056000,,,-0.0453122873650555,,,,-0.0123844929203045,0,0,0.0,0.0
2015-01-16,AAPL,23.433313369750977,-0.0077703812092666,314053200,,,-0.053745140700842,,,,-0.0666245786144621,0,0,0.0,0.0
2015-01-20,AAPL,24.03689384460449,0.0257573679543179,199599600,,,-0.0048511930449334,,,,-0.0602122480034559,0,0,0.0,0.0
2015-01-21,AAPL,24.220401763916016,0.0076344273306643,194303600,,,-0.006078602693915,,,,-0.0398633544115405,0,0,0.0,0.0
2015-01-22,AAPL,24.850500106811523,0.0260151895512419,215185600,,,0.023679306493795,,,,0.0267980494531236,0,0,0.0,0.0
2015-01-23,AAPL,24.97873878479004,0.0051604063269279,185859200,,,0.0576670943298578,,,57.67129035147424,0.0889501202461957,0,0,0.0,0.0
2015-01-26,AAPL,25.005266189575195,0.0010619993672902,222460000,,,0.0670819698017346,,,66.44261779753433,0.1387472322721059,0,0,0.0,0.0
2015-01-27,AAPL,24.129749298095703,-0.0350133001921211,382274800,,,0.0038630387974216,,,55.811159425839975,0.1063390952823937,0,0,0.0,0.0
2015-01-28,AAPL,25.49386978149414,0.05653272508331,585908400,,,0.0525783193025046,,,62.83090447736281,0.1885549912420963,0,0,0.0,0.0
2015-01-29,AAPL,26.28758811950684,0.0311336938964383,337745600,,,0.057829339712218,,,62.123824563665146,0.3141369424908333,0,0,0.0,0.0
2015-01-30,AAPL,25.902889251708984,-0.014634239780727,334982000,24.461716747283937,,0.0369974831348041,,,58.43434213563995,0.3782592231891186,0,0,0.0,0.0
2015-02-02,AAPL,26.22789192199707,0.0125469659824393,250956400,24.56452331542969,,0.0488947297402333,0.0850633679697978,0.378025284324621,66.03962522673925,0.4501129698197132,0,0,0.0,0.0
2015-02-03,AAPL,26.23231315612793,0.0001685699385984,207662800,24.70159883499145,,0.0871357523054812,0.1167056919541544,0.3585649570370907,64.89920213122811,0.5016318387650109,0,0,0.0,0.0
2015-02-04,AAPL,26.43349838256836,0.0076693666030527,280598800,24.84862337112427,,0.0368570408936617,0.1251645070406983,0.3579809731481559,66.95614248073306,0.5523279867571134,0,0,0.0,0.0
2015-02-05,AAPL,26.622175216674805,0.0071377927876117,168984800,24.988610172271727,,0.0127279496181578,0.1175251618938595,0.3568059573431698,75.5001655593234,0.6008039984544951,0,0,0.0,0.0
2015-02-06,AAPL,26.39798927307129,-0.008421022766881,174826400,25.07162218093872,,0.0191136987287872,0.0671136313431954,0.3382813146062066,74.98260926588597,0.6140532315088052,0,0,0.0,0.0
2015-02-09,AAPL,26.57334518432617,0.0066427753053812,155559200,25.162075805664063,,0.0131712172429447,0.0730517111148816,0.3383361854685123,73.03663914737663,0.6314244328735867,0,0,0.0,0.0
2015-02-10,AAPL,27.083852767944336,0.0192112652764275,248034000,25.308564949035645,,0.0324614763001747,0.1212956193096657,0.3250870759334105,74.54840618082194,0.6785628801246659,0,0,0.0,0.0
2015-02-11,AAPL,27.71867179870605,0.0234390223651292,294247200,25.476072120666505,,0.0486191194800458,0.1374782827377967,0.3308906164187846,74.56899030669325,0.7584026360644813,0,0,0.0,0.0
2015-02-12,AAPL,28.069366455078125,0.0126519285959598,297898000,25.66575698852539,,0.0543603678747059,0.1562757072473792,0.3291326629520079,75.50262253583458,0.8402880284223428,0,0,0.0,0.0
2015-02-13,AAPL,28.20698356628418,0.0049027508841816,217088800,25.89526491165161,,0.0685277304456766,0.1943596754583945,0.3030364697197741,75.943656050916,0.9058453215804398,0,0,0.0,0.0
2015-02-17,AAPL,28.37346267700196,0.0059020529553102,252609600,26.14227237701416,,0.0677414710187693,0.2108173619880831,0.2967677244045821,88.85129165080548,0.9601652344928412,0,0,0.0,0.0
2015-02-18,AAPL,28.571006774902344,0.0069622837420018,179566800,26.368978023529053,,0.0549092486840778,0.1886313996979114,0.2907814512450048,85.82309545210691,1.0075400204021,0,0,0.0,0.0
